"SUID","__gpml:GraphID","__gpml:textlabel","__gpml:XrefDatasource","__gpml:XrefId","BorderStyle","BorderThickness","Color","direction","Ensembl","FillColor","gsea rank","Height","HGNC","IsGPMLShape","LabelFont","LabelSize","name","parent","position","ptm","selected","Shape","shared name","Transparent","Type","Width"
"121","b4d","FZD8","Entrez Gene","8325","","1.0","#000000","","","#ffffff","0.297694386710527","20.0","null","false","Dialog.plain","10.0","FZD8","","","","false","Rectangle","FZD8","false","GeneProduct","48.247"
"122","b43","CCND1","Entrez Gene","595","","1.0","#000000","","","#ffffff","-1.6096916368081","20.0","null","false","Dialog.plain","10.0","CCND1","","","","false","Rectangle","CCND1","false","GeneProduct","60.0"
"123","b37","CSNK1E","Entrez Gene","1454","","1.0","#000000","","","#ffffff","0.361256735656894","20.0","null","false","Dialog.plain","10.0","CSNK1E","","","","false","Rectangle","CSNK1E","false","GeneProduct","60.0"
"124","b013d","LEF1","Ensembl","ENSG00000138795","","1.0","#000000","","ENSG00000138795","#ffffff","0.0780993211629702","20.0","LEF1","false","Dialog.plain","10.0","LEF1","","","","false","Rectangle","LEF1","false","GeneProduct","60.0"
"125","afc","MAPK9","Entrez Gene","5601","","1.0","#000000","","","#ffffff","1.52880370739127","20.0","null","false","Dialog.plain","10.0","MAPK9","","","","false","Rectangle","MAPK9","false","GeneProduct","60.0"
"126","af4","FZD3","Entrez Gene","7976","","1.0","#000000","","","#ffffff","0.797727829080242","20.0","null","false","Dialog.plain","10.0","FZD3","","","","false","Rectangle","FZD3","false","GeneProduct","48.247"
"127","ac963","PPP3R2","Ensembl","ENSG00000188386","","1.0","#000000","","ENSG00000188386","#ffffff",,"20.0","PPP3R2","false","Dialog.plain","10.0","PPP3R2","","","","false","Rectangle","PPP3R2","false","GeneProduct","60.0"
"128","ab6f6","PPP3R1","Ensembl","ENSG00000221823","","1.0","#000000","","ENSG00000221823","#ffffff","-1.53442708257821","20.0","PPP3R1","false","Dialog.plain","10.0","PPP3R1","","","","false","Rectangle","PPP3R1","false","GeneProduct","60.0"
"129","aa0","WNT3A","Entrez Gene","89780","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT3A","","","","false","Rectangle","WNT3A","false","GeneProduct","60.0"
"130","a97","APC","Entrez Gene","324","","1.0","#000000","","","#ffffff","0.288970115833334","20.0","null","false","Dialog.plain","10.0","APC","","","","false","Rectangle","APC","false","GeneProduct","60.0"
"131","a8cad","CSNK2B","Ensembl","ENSG00000204435","","1.0","#000000","","ENSG00000204435","#ffffff","-0.366097465987199","20.0","CSNK2B","false","Dialog.plain","10.0","CSNK2B","","","","false","Rectangle","CSNK2B","false","GeneProduct","60.0"
"132","a7e","GSK3B","Entrez Gene","2932","","1.0","#000000","","","#ffffff","0.212553946867695","20.0","null","false","Dialog.plain","10.0","GSK3B","","","","false","Rectangle","GSK3B","false","GeneProduct","60.0"
"133","a58","FRAT1","Entrez Gene","10023","","1.0","#000000","","","#ffffff","-0.13535453129947","20.0","null","false","Dialog.plain","10.0","FRAT1","","","","false","Rectangle","FRAT1","false","GeneProduct","60.0"
"134","a2529","CAMK2D","Ensembl","ENSG00000145349","","1.0","#000000","","ENSG00000145349","#ffffff","-1.01244461208882","20.0","CAMK2D","false","Dialog.plain","10.0","CAMK2D","","","","false","Rectangle","CAMK2D","false","GeneProduct","60.0"
"135","a24","PRKCB","Ensembl","ENSG00000166501","","1.0","#000000","","ENSG00000166501","#ffffff",,"20.0","PRKCB","false","Dialog.plain","10.0","PRKCB","","","","false","Rectangle","PRKCB","false","GeneProduct","60.0"
"136","a19","PLAU","Entrez Gene","5328","","1.0","#000000","","","#ffffff","-4.45908714730391","20.0","null","false","Dialog.plain","10.0","PLAU","","","","false","Rectangle","PLAU","false","GeneProduct","60.0"
"137","a14","RAC1","Entrez Gene","5879","","1.0","#000000","","","#ffffff","-0.525266953693995","20.0","null","false","Dialog.plain","10.0","RAC1","","","","false","Rectangle","RAC1","false","GeneProduct","60.0"
"138","a0a","RHOA","Entrez Gene","387","","1.0","#000000","","","#ffffff","-0.192518398181923","20.0","null","false","Dialog.plain","10.0","RHOA","","","","false","Rectangle","RHOA","false","GeneProduct","60.0"
